typeName;typeName;quantity;damagePerJob
10MN MicroWarpdrive II;Pyerite;14508;1
10MN MicroWarpdrive II;R.A.M.- Armor/Hull Tech;1;0.08
10MN MicroWarpdrive II;Tritanium;18060;1
10MN MicroWarpdrive II;Zydrine;2;1
10mn webscramblifying Drone;Mexallon;4;1
10mn webscramblifying Drone;Nocxium;2;1
10mn webscramblifying Drone;Tritanium;424;1
1200mm Artillery Cannon I;Isogen;2065;1
1200mm Artillery Cannon I;Megacyte;23;1
1200mm Artillery Cannon I;Mexallon;7752;1
1200mm Artillery Cannon I;Nocxium;292;1
1200mm Artillery Cannon I;Pyerite;21174;1
1200mm Artillery Cannon I;Tritanium;81960;1
1200mm Artillery Cannon I;Zydrine;8;1
1200mm Artillery Cannon II;1200mm Artillery Cannon I;1;1
1200mm Artillery Cannon II;Isogen;3056;1
1200mm Artillery Cannon II;Megacyte;28;1
1200mm Artillery Cannon II;Mexallon;8603;1
1200mm Artillery Cannon II;Morphite;14;1
1200mm Artillery Cannon II;Nocxium;356;1
1200mm Artillery Cannon II;Pyerite;30506;1
1200mm Artillery Cannon II;R.A.M.- Weapon Tech;1;0.64
1200mm Artillery Cannon II;Robotics;9;1
1200mm Artillery Cannon II;Thermonuclear Trigger Unit;16;1
1200mm Artillery Cannon II;Tritanium;92050;1
1200mm Artillery Cannon II;Zydrine;11;1
1200mm Heavy 'Jolt' Artillery I;Advanced Theories;2;1
1200mm Heavy 'Jolt' Artillery I;Angel Advanced Trigger Mechanism;1;1
1200mm Heavy 'Jolt' Artillery I;Circuitry Schematics;1;1
1200mm Heavy 'Jolt' Artillery I;Construction Alloy;12;1
1200mm Heavy 'Jolt' Artillery I;Energy Cells;2;1
1200mm Heavy 'Jolt' Artillery I;Isogen;2065;1
1200mm Heavy 'Jolt' Artillery I;Megacyte;23;1
1200mm Heavy 'Jolt' Artillery I;Mexallon;7752;1
1200mm Heavy 'Jolt' Artillery I;Nocxium;292;1
1200mm Heavy 'Jolt' Artillery I;Operation Handbook;1;1
1200mm Heavy 'Jolt' Artillery I;Pyerite;21174;1
1200mm Heavy 'Jolt' Artillery I;Tritanium;81960;1
1200mm Heavy 'Jolt' Artillery I;Zydrine;8;1
125mm Gatling AutoCannon I;Pyerite;198;1
125mm Gatling AutoCannon I;Tritanium;208;1
125mm Gatling AutoCannon II;125mm Gatling AutoCannon I;1;1
125mm Gatling AutoCannon II;Morphite;1;1
125mm Gatling AutoCannon II;Pyerite;265;1
125mm Gatling AutoCannon II;R.A.M.- Weapon Tech;1;0.12
125mm Gatling AutoCannon II;Robotics;1;1
125mm Gatling AutoCannon II;Thermonuclear Trigger Unit;3;1
125mm Gatling AutoCannon II;Tritanium;256;1
125mm Railgun I;Isogen;2;1
125mm Railgun I;Mexallon;93;1
125mm Railgun I;Pyerite;426;1
125mm Railgun I;Tritanium;1180;1
125mm Railgun II;125mm Railgun I;1;1
125mm Railgun II;Isogen;3;1
125mm Railgun II;Mexallon;120;1
125mm Railgun II;Morphite;3;1
125mm Railgun II;Pyerite;605;1
125mm Railgun II;R.A.M.- Weapon Tech;1;0.2
125mm Railgun II;Robotics;1;1
125mm Railgun II;Superconductor Rails;5;1
125mm Railgun II;Tritanium;1580;1
1400mm Howitzer Artillery I;Isogen;2385;1
1400mm Howitzer Artillery I;Megacyte;33;1
1400mm Howitzer Artillery I;Mexallon;8772;1
1400mm Howitzer Artillery I;Nocxium;370;1
1400mm Howitzer Artillery I;Pyerite;26293;1
1400mm Howitzer Artillery I;Tritanium;102492;1
1400mm Howitzer Artillery I;Zydrine;19;1
1400mm Howitzer Artillery II;1400mm Howitzer Artillery I;1;1
1400mm Howitzer Artillery II;Isogen;3105;1
1400mm Howitzer Artillery II;Megacyte;38;1
1400mm Howitzer Artillery II;Mexallon;10560;1
1400mm Howitzer Artillery II;Morphite;15;1
1400mm Howitzer Artillery II;Nocxium;456;1
1400mm Howitzer Artillery II;Pyerite;31506;1
1400mm Howitzer Artillery II;R.A.M.- Weapon Tech;1;0.68
1400mm Howitzer Artillery II;Robotics;9;1
1400mm Howitzer Artillery II;Thermonuclear Trigger Unit;17;1
1400mm Howitzer Artillery II;Tritanium;126068;1
1400mm Howitzer Artillery II;Zydrine;22;1
1400mm 'Jolt' Artillery I;Advanced Theories;2;1
1400mm 'Jolt' Artillery I;Angel Advanced Trigger Mechanism;1;1
1400mm 'Jolt' Artillery I;Circuitry Schematics;1;1
1400mm 'Jolt' Artillery I;Construction Alloy;12;1
1400mm 'Jolt' Artillery I;Energy Cells;3;1
1400mm 'Jolt' Artillery I;Isogen;2385;1
1400mm 'Jolt' Artillery I;Megacyte;33;1
1400mm 'Jolt' Artillery I;Mexallon;8772;1
1400mm 'Jolt' Artillery I;Nocxium;370;1
1400mm 'Jolt' Artillery I;Operation Handbook;1;1
1400mm 'Jolt' Artillery I;Pyerite;26293;1
1400mm 'Jolt' Artillery I;Tritanium;102492;1
1400mm 'Jolt' Artillery I;Zydrine;19;1
150mm Light AutoCannon I;Pyerite;270;1
150mm Light AutoCannon I;Tritanium;896;1
150mm Light AutoCannon I;Zydrine;1;1
150mm Light AutoCannon II;150mm Light AutoCannon I;1;1
150mm Light AutoCannon II;Morphite;2;1
150mm Light AutoCannon II;Pyerite;310;1
150mm Light AutoCannon II;R.A.M.- Weapon Tech;1;0.15
150mm Light AutoCannon II;Robotics;1;1
150mm Light AutoCannon II;Thermonuclear Trigger Unit;4;1
150mm Light AutoCannon II;Tritanium;1050;1
150mm Light AutoCannon II;Zydrine;2;1
150mm 'Musket' Railgun;Armor Blocks;2;1
150mm 'Musket' Railgun;Guristas Light Weapon Console;1;1
150mm 'Musket' Railgun;Interface Alignment Chart;1;1
150mm 'Musket' Railgun;Mexallon;154;1
150mm 'Musket' Railgun;Pyerite;133;1
150mm 'Musket' Railgun;Tritanium;2456;1
150mm 'Musket' Railgun;Tuning Instructions;1;1
150mm 'Musket' Railgun;Zydrine;2;1
150mm Railgun I;Mexallon;154;1
150mm Railgun I;Pyerite;133;1
150mm Railgun I;Tritanium;2456;1
150mm Railgun I;Zydrine;2;1
150mm Railgun II;150mm Railgun I;1;1
150mm Railgun II;Mexallon;186;1
150mm Railgun II;Morphite;5;1
150mm Railgun II;Pyerite;185;1
150mm Railgun II;R.A.M.- Weapon Tech;1;0.28
150mm Railgun II;Robotics;1;1
150mm Railgun II;Superconductor Rails;7;1
150mm Railgun II;Tritanium;2860;1
150mm Railgun II;Zydrine;3;1
1600mm Reinforced Steel Plates I;Isogen;789;1
1600mm Reinforced Steel Plates I;Megacyte;5;1
1600mm Reinforced Steel Plates I;Mexallon;12257;1
1600mm Reinforced Steel Plates I;Pyerite;16211;1
1600mm Reinforced Steel Plates I;Tritanium;17044;1
1600mm Reinforced Steel Plates I;Zydrine;1;1
1600mm Reinforced Steel Plates II;1600mm Reinforced Steel Plates I;1;1
1600mm Reinforced Steel Plates II;Isogen;819;1
1600mm Reinforced Steel Plates II;Megacyte;6;1
1600mm Reinforced Steel Plates II;Mexallon;12357;1
1600mm Reinforced Steel Plates II;Morphite;32;1
1600mm Reinforced Steel Plates II;Pyerite;16411;1
1600mm Reinforced Steel Plates II;R.A.M.- Armor/Hull Tech;1;0.95
1600mm Reinforced Steel Plates II;Tritanium;17544;1
1600mm Reinforced Steel Plates II;Tungsten Carbide Armor Plate;35;1
1600mm Reinforced Steel Plates II;Zydrine;2;1
1MN Afterburner I;Mexallon;1;1
1MN Afterburner I;Nocxium;1;1
1MN Afterburner I;Pyerite;579;1
1MN Afterburner I;Tritanium;637;1
1MN Afterburner II;1MN Afterburner I;1;1
1MN Afterburner II;Antimatter Reactor Unit;5;1
1MN Afterburner II;Ion Thruster;10;1
1MN Afterburner II;Mexallon;2;1
1MN Afterburner II;Morphite;1;1
1MN Afterburner II;Nocxium;2;1
1MN Afterburner II;Plasma Thruster;2;1
1MN Afterburner II;Pyerite;633;1
1MN Afterburner II;R.A.M.- Armor/Hull Tech;1;0.05
1MN Afterburner II;Tritanium;823;1
1MN Analog Booster Rockets;Mexallon;1;1
1MN Analog Booster Rockets;Nocxium;1;1
1MN Analog Booster Rockets;Pyerite;579;1
1MN Analog Booster Rockets;Sleeper Foundation Block;1;1
1MN Analog Booster Rockets;Sleeper Heat Nullifying Coil;1;1
1MN Analog Booster Rockets;Sleeper Micro Circuits;1;1
1MN Analog Booster Rockets;Tritanium;637;1
1MN Digital Booster Rockets;Isogen;12;1
1MN Digital Booster Rockets;Mexallon;206;1
1MN Digital Booster Rockets;Nocxium;2;1
1MN Digital Booster Rockets;Pyerite;1918;1
1MN Digital Booster Rockets;Sleeper Foundation Block;1;1
1MN Digital Booster Rockets;Sleeper Heat Nullifying Coil;1;1
1MN Digital Booster Rockets;Sleeper Manuscripts;1;1
1MN Digital Booster Rockets;Sleeper Micro Circuits;1;1
1MN Digital Booster Rockets;Sleeper Profound Research Notes;1;1
1MN Digital Booster Rockets;Tritanium;3570;1
1MN MicroWarpdrive I;Isogen;12;1
1MN MicroWarpdrive I;Mexallon;205;1
1MN MicroWarpdrive I;Nocxium;2;1
1MN MicroWarpdrive I;Pyerite;1918;1
1MN MicroWarpdrive I;Tritanium;3570;1
1MN MicroWarpdrive II;1MN MicroWarpdrive I;1;1
1MN MicroWarpdrive II;Antimatter Reactor Unit;5;1
1MN MicroWarpdrive II;Ion Thruster;10;1
1MN MicroWarpdrive II;Isogen;15;1
1MN MicroWarpdrive II;Mexallon;235;1
1MN MicroWarpdrive II;Morphite;11;1
1MN MicroWarpdrive II;Nocxium;3;1
1MN MicroWarpdrive II;Plasma Thruster;16;1
1MN MicroWarpdrive II;Pyerite;2068;1
1MN MicroWarpdrive II;R.A.M.- Armor/Hull Tech;1;0.04
1MN MicroWarpdrive II;Tritanium;4130;1
200mm AutoCannon I;Isogen;20;1
200mm AutoCannon I;Mexallon;75;1
200mm AutoCannon I;Pyerite;130;1
200mm AutoCannon I;Tritanium;1500;1
200mm AutoCannon II;200mm AutoCannon I;1;1
200mm AutoCannon II;Isogen;25;1
200mm AutoCannon II;Mexallon;100;1
200mm AutoCannon II;Morphite;3;1
200mm AutoCannon II;Pyerite;180;1
200mm AutoCannon II;R.A.M.- Weapon Tech;1;0.2
200mm AutoCannon II;Robotics;1;1
200mm AutoCannon II;Thermonuclear Trigger Unit;5;1
200mm AutoCannon II;Tritanium;1800;1
200mm Light 'Jolt' Autocannon I;Angel Simple Trigger Mechanism;1;1
200mm Light 'Jolt' Autocannon I;Construction Alloy;3;1
200mm Light 'Jolt' Autocannon I;Isogen;20;1
200mm Light 'Jolt' Autocannon I;Mexallon;75;1
200mm Light 'Jolt' Autocannon I;Operation Handbook;2;1
200mm Light 'Jolt' Autocannon I;Pyerite;130;1
200mm Light 'Jolt' Autocannon I;Tritanium;1500;1
200mm Railgun I;Isogen;57;1
200mm Railgun I;Mexallon;1050;1
200mm Railgun I;Nocxium;45;1
200mm Railgun I;Pyerite;1425;1
200mm Railgun I;Tritanium;4140;1
200mm Railgun I;Zydrine;8;1
200mm Railgun II;200mm Railgun I;1;1
200mm Railgun II;Isogen;1;1
200mm Railgun II;Mexallon;1500;1
200mm Railgun II;Morphite;5;1
200mm Railgun II;Nocxium;10;1
200mm Railgun II;Pyerite;2000;1
200mm Railgun II;R.A.M.- Weapon Tech;1;0.38
200mm Railgun II;Robotics;3;1
200mm Railgun II;Superconductor Rails;10;1
200mm Railgun II;Tritanium;5000;1
200mm Reinforced Steel Plates I;Megacyte;1;1
200mm Reinforced Steel Plates I;Mexallon;758;1
200mm Reinforced Steel Plates I;Nocxium;18;1
200mm Reinforced Steel Plates I;Pyerite;2844;1
200mm Reinforced Steel Plates I;Tritanium;4720;1
200mm Reinforced Steel Plates I;Zydrine;3;1
200mm Reinforced Steel Plates II;200mm Reinforced Steel Plates I;1;1
200mm Reinforced Steel Plates II;Megacyte;2;1
200mm Reinforced Steel Plates II;Mexallon;768;1
200mm Reinforced Steel Plates II;Morphite;4;1
200mm Reinforced Steel Plates II;Nocxium;20;1
200mm Reinforced Steel Plates II;Pyerite;2864;1
200mm Reinforced Steel Plates II;R.A.M.- Armor/Hull Tech;1;0.3
200mm Reinforced Steel Plates II;Tritanium;4780;1
200mm Reinforced Steel Plates II;Tungsten Carbide Armor Plate;7;1
200mm Reinforced Steel Plates II;Zydrine;4;1
220mm Vulcan AutoCannon I;Megacyte;1;1
220mm Vulcan AutoCannon I;Mexallon;1079;1
220mm Vulcan AutoCannon I;Pyerite;1158;1
220mm Vulcan AutoCannon I;Tritanium;4008;1
220mm Vulcan AutoCannon II;220mm Vulcan AutoCannon I;1;1
220mm Vulcan AutoCannon II;Megacyte;2;1
220mm Vulcan AutoCannon II;Mexallon;1168;1
220mm Vulcan AutoCannon II;Morphite;7;1
220mm Vulcan AutoCannon II;Pyerite;1350;1
220mm Vulcan AutoCannon II;R.A.M.- Weapon Tech;1;0.36
220mm Vulcan AutoCannon II;Robotics;3;1
220mm Vulcan AutoCannon II;Thermonuclear Trigger Unit;9;1
220mm Vulcan AutoCannon II;Tritanium;5600;1
250mm 'Flintlock' Railgun;Armor Blocks;2;1
250mm 'Flintlock' Railgun;Electronic Link;2;1
250mm 'Flintlock' Railgun;Guristas Medium Weapon Console;1;1
250mm 'Flintlock' Railgun;Interface Alignment Chart;1;1
250mm 'Flintlock' Railgun;Isogen;2;1
250mm 'Flintlock' Railgun;Mexallon;3239;1
250mm 'Flintlock' Railgun;Nocxium;16;1
250mm 'Flintlock' Railgun;Pyerite;2683;1
250mm 'Flintlock' Railgun;Tritanium;8220;1
250mm 'Flintlock' Railgun;Tuning Instructions;1;1
250mm Light Artillery Cannon I;Mexallon;130;1
250mm Light Artillery Cannon I;Pyerite;621;1
250mm Light Artillery Cannon I;Tritanium;1436;1
250mm Light Artillery Cannon II;250mm Light Artillery Cannon I;1;1
250mm Light Artillery Cannon II;Mexallon;33;1
250mm Light Artillery Cannon II;Morphite;4;1
250mm Light Artillery Cannon II;Pyerite;67;1
250mm Light Artillery Cannon II;R.A.M.- Weapon Tech;1;0.24
250mm Light Artillery Cannon II;Robotics;1;1
250mm Light Artillery Cannon II;Thermonuclear Trigger Unit;6;1
250mm Light 'Jolt' Artillery I;Angel Simple Trigger Mechanism;1;1
250mm Light 'Jolt' Artillery I;Construction Alloy;3;1
250mm Light 'Jolt' Artillery I;Mexallon;130;1
250mm Light 'Jolt' Artillery I;Operation Handbook;2;1
250mm Light 'Jolt' Artillery I;Pyerite;621;1
250mm Light 'Jolt' Artillery I;Tritanium;1436;1
250mm Railgun I;Isogen;2;1
250mm Railgun I;Mexallon;3239;1
250mm Railgun I;Nocxium;16;1
250mm Railgun I;Pyerite;2683;1
250mm Railgun I;Tritanium;8220;1
250mm Railgun II;250mm Railgun I;1;1
250mm Railgun II;Isogen;3;1
250mm Railgun II;Mexallon;3689;1
250mm Railgun II;Morphite;10;1
250mm Railgun II;Nocxium;20;1
250mm Railgun II;Pyerite;3560;1
250mm Railgun II;R.A.M.- Weapon Tech;1;0.48
250mm Railgun II;Robotics;3;1
250mm Railgun II;Superconductor Rails;12;1
250mm Railgun II;Tritanium;10500;1
280mm Howitzer Artillery I;Mexallon;154;1
280mm Howitzer Artillery I;Pyerite;133;1
280mm Howitzer Artillery I;Tritanium;2456;1
280mm Howitzer Artillery I;Zydrine;2;1
280mm Howitzer Artillery II;280mm Howitzer Artillery I;1;1
280mm Howitzer Artillery II;Mexallon;49;1
280mm Howitzer Artillery II;Pyerite;51;1
280mm Howitzer Artillery II;R.A.M.- Weapon Tech;1;0.28
280mm Howitzer Artillery II;Robotics;1;1
280mm Howitzer Artillery II;Thermonuclear Trigger Unit;7;1
280mm 'Jolt' Artillery I;Angel Simple Trigger Mechanism;1;1
280mm 'Jolt' Artillery I;Construction Alloy;6;1
280mm 'Jolt' Artillery I;Mexallon;154;1
280mm 'Jolt' Artillery I;Operation Handbook;2;1
280mm 'Jolt' Artillery I;Pyerite;133;1
280mm 'Jolt' Artillery I;Tritanium;2456;1
280mm 'Jolt' Artillery I;Zydrine;2;1
350mm Railgun I;Isogen;1085;1
350mm Railgun I;Megacyte;8;1
350mm Railgun I;Mexallon;5158;1
350mm Railgun I;Nocxium;309;1
350mm Railgun I;Pyerite;17814;1
350mm Railgun I;Tritanium;69672;1
350mm Railgun I;Zydrine;93;1
350mm Railgun II;350mm Railgun I;1;1
350mm Railgun II;Isogen;1000;1
350mm Railgun II;Megacyte;15;1
350mm Railgun II;Mexallon;8000;1
350mm Railgun II;Morphite;12;1
350mm Railgun II;Nocxium;140;1
350mm Railgun II;Pyerite;10000;1
350mm Railgun II;R.A.M.- Weapon Tech;1;0.58
350mm Railgun II;Robotics;9;1
350mm Railgun II;Superconductor Rails;14;1
350mm Railgun II;Tritanium;50000;1
350mm Railgun II;Zydrine;10;1
400mm Reinforced Steel Plates I;Isogen;1;1
400mm Reinforced Steel Plates I;Megacyte;1;1
400mm Reinforced Steel Plates I;Mexallon;2253;1
400mm Reinforced Steel Plates I;Pyerite;6285;1
400mm Reinforced Steel Plates I;Tritanium;9532;1
400mm Reinforced Steel Plates I;Zydrine;5;1
400mm Reinforced Steel Plates II;400mm Reinforced Steel Plates I;1;1
400mm Reinforced Steel Plates II;Isogen;2;1
400mm Reinforced Steel Plates II;Megacyte;1;1
400mm Reinforced Steel Plates II;Mexallon;2273;1
400mm Reinforced Steel Plates II;Morphite;8;1
400mm Reinforced Steel Plates II;Pyerite;6325;1
400mm Reinforced Steel Plates II;R.A.M.- Armor/Hull Tech;1;0.45
400mm Reinforced Steel Plates II;Tritanium;9582;1
400mm Reinforced Steel Plates II;Tungsten Carbide Armor Plate;11;1
400mm Reinforced Steel Plates II;Zydrine;6;1
425mm AutoCannon I;Mexallon;2172;1
425mm AutoCannon I;Nocxium;1;1
425mm AutoCannon I;Pyerite;1479;1
425mm AutoCannon I;Tritanium;4076;1
425mm AutoCannon II;425mm AutoCannon I;1;1
425mm AutoCannon II;Mexallon;2667;1
425mm AutoCannon II;Morphite;8;1
425mm AutoCannon II;Nocxium;2;1
425mm AutoCannon II;Pyerite;1986;1
425mm AutoCannon II;R.A.M.- Weapon Tech;1;0.4
425mm AutoCannon II;Robotics;3;1
425mm AutoCannon II;Thermonuclear Trigger Unit;10;1
425mm AutoCannon II;Tritanium;4405;1
425mm Medium 'Jolt' Autocannon I;Angel Standard Trigger Mechanism;1;1
425mm Medium 'Jolt' Autocannon I;Circuitry Schematics;2;1
425mm Medium 'Jolt' Autocannon I;Construction Alloy;6;1
425mm Medium 'Jolt' Autocannon I;Electric Conduit;1;1
425mm Medium 'Jolt' Autocannon I;Mexallon;2172;1
425mm Medium 'Jolt' Autocannon I;Nocxium;1;1
425mm Medium 'Jolt' Autocannon I;Operation Handbook;1;1
425mm Medium 'Jolt' Autocannon I;Pyerite;1479;1
425mm Medium 'Jolt' Autocannon I;Tritanium;4076;1
425mm 'Popper' Railgun;Armor Blocks;4;1
425mm 'Popper' Railgun;Guristas Heavy Weapon Console;1;1
425mm 'Popper' Railgun;Interface Alignment Chart;1;1
425mm 'Popper' Railgun;Isogen;2385;1
425mm 'Popper' Railgun;Megacyte;33;1
425mm 'Popper' Railgun;Mexallon;8772;1
425mm 'Popper' Railgun;Nocxium;370;1
425mm 'Popper' Railgun;Pyerite;26293;1
425mm 'Popper' Railgun;Tritanium;102492;1
425mm 'Popper' Railgun;Tuning Instructions;1;1
425mm 'Popper' Railgun;User Manual;2;1
425mm 'Popper' Railgun;Zydrine;19;1
425mm Railgun I;Isogen;2385;1
425mm Railgun I;Megacyte;33;1
425mm Railgun I;Mexallon;8772;1
425mm Railgun I;Nocxium;370;1
425mm Railgun I;Pyerite;26293;1
425mm Railgun I;Tritanium;102492;1
425mm Railgun I;Zydrine;19;1
425mm Railgun II;425mm Railgun I;1;1
425mm Railgun II;Isogen;917;1
425mm Railgun II;Morphite;15;1
425mm Railgun II;Nocxium;83;1
425mm Railgun II;Pyerite;3500;1
425mm Railgun II;R.A.M.- Weapon Tech;1;0.68
425mm Railgun II;Robotics;9;1
425mm Railgun II;Superconductor Rails;17;1
425mm Railgun II;Tritanium;125600;1
425mm Railgun III;Isogen;917;1
425mm Railgun III;Morphite;15;1
425mm Railgun III;Nocxium;83;1
425mm Railgun III;Pyerite;3500;1
425mm Railgun III;Tritanium;125600;1
50mm Reinforced Steel Plates I;Mexallon;163;1
50mm Reinforced Steel Plates I;Nocxium;1;1
50mm Reinforced Steel Plates I;Pyerite;88;1
50mm Reinforced Steel Plates I;Tritanium;1784;1
