typeName;wasteFactor;maxProductionLimit;techLevel;(No column name)
1MN MicroWarpdrive II;10;100;2;1MN MicroWarpdrive I
200mm AutoCannon I;10;300;1;NULL
200mm AutoCannon II;10;100;2;200mm AutoCannon I
200mm Light 'Jolt' Autocannon I;10;1000;1;200mm AutoCannon I
200mm Railgun I;10;300;1;NULL
200mm Railgun II;10;100;2;200mm Railgun I
200mm Reinforced Steel Plates I;10;300;1;NULL
200mm Reinforced Steel Plates II;10;100;2;200mm Reinforced Steel Plates I
220mm Vulcan AutoCannon I;10;300;1;NULL
220mm Vulcan AutoCannon II;10;100;2;220mm Vulcan AutoCannon I
250mm 'Flintlock' Railgun;10;1000;2;250mm Railgun I
250mm Light Artillery Cannon I;10;300;1;NULL
250mm Light Artillery Cannon II;10;100;2;250mm Light Artillery Cannon I
250mm Light 'Jolt' Artillery I;10;1000;1;250mm Light Artillery Cannon I
250mm Railgun I;10;300;1;NULL
250mm Railgun II;10;100;2;250mm Railgun I
280mm Howitzer Artillery I;10;300;1;NULL
280mm Howitzer Artillery II;10;100;2;280mm Howitzer Artillery I
280mm 'Jolt' Artillery I;10;1000;1;280mm Howitzer Artillery I
350mm Railgun I;10;300;1;NULL
350mm Railgun II;10;100;2;350mm Railgun I
400mm Reinforced Steel Plates I;10;300;1;NULL
400mm Reinforced Steel Plates II;10;100;2;400mm Reinforced Steel Plates I
425mm AutoCannon I;10;300;1;NULL
425mm AutoCannon II;10;100;2;425mm AutoCannon I
425mm Medium 'Jolt' Autocannon I;10;1000;1;425mm AutoCannon I
425mm 'Popper' Railgun;10;1000;2;425mm Railgun I
425mm Railgun I;10;300;1;NULL
425mm Railgun II;10;100;2;425mm Railgun I
50mm Reinforced Steel Plates I;10;300;1;NULL
50mm Reinforced Steel Plates II;10;100;2;50mm Reinforced Steel Plates I
650mm Artillery Cannon I;10;300;1;NULL
650mm Artillery Cannon II;10;100;2;650mm Artillery Cannon I
650mm Medium 'Jolt' Artillery I;10;1000;1;650mm Artillery Cannon I
6x2500mm Heavy Gallium Repeating Cannon;10;1000;1;6x2500mm Repeating Artillery I
6x2500mm Repeating Artillery I;10;10;1;NULL
720mm Howitzer Artillery I;10;300;1;NULL
720mm Howitzer Artillery II;10;100;2;720mm Howitzer Artillery I
720mm 'Jolt' Artillery I;10;1000;1;720mm Howitzer Artillery I
75mm Gatling Rail I;10;300;1;NULL
75mm Gatling Rail II;10;100;2;75mm Gatling Rail I
800mm Heavy 'Jolt' Repeating Artillery I;10;1000;1;800mm Repeating Artillery I
800mm Reinforced Steel Plates I;10;300;1;NULL
800mm Reinforced Steel Plates II;10;100;2;800mm Reinforced Steel Plates I
800mm Repeating Artillery I;10;300;1;NULL
800mm Repeating Artillery II;10;100;2;800mm Repeating Artillery I
Abaddon;10;10;1;NULL
'Abatis' 100mm Reinforced Steel Plates I;10;1000;1;100mm Reinforced Steel Plates I
Absolution;10;10;2;Prophecy
Acolyte EV-300;10;1500;1;NULL
Acolyte I;10;1500;1;NULL
Acolyte II;10;100;2;Acolyte I
Acolyte TD-300;10;1500;1;NULL
Adaptive Nano Plating I;10;300;1;NULL
Adaptive Nano Plating II;10;100;2;Adaptive Nano Plating I
Advanced Large Ship Assembly Array;10;5;1;NULL
Advanced Medium Ship Assembly Array;10;5;1;NULL
Advanced Mobile Laboratory;10;5;1;NULL
Advanced Small Ship Assembly Array;10;5;1;NULL
Aeon;10;1;1;NULL
'Alpha' Codebreaker I;10;1000;1;NULL
Amarr Control Tower;10;5;1;NULL
Amarr Control Tower Medium;10;5;1;NULL
Amarr Control Tower Small;10;5;1;NULL
Amarr Factory Outpost Platform;10;1;1;NULL
Amarr Fuel Block;5;300;1;NULL
Amarr Shuttle;10;30;1;NULL
Ammatar Navy Adaptive Nano Plating;10;1000;1;Adaptive Nano Plating I
Ammatar Navy Armor EM Hardener;10;1000;1;Armor EM Hardener I
Ammatar Navy Armor Explosive Hardener;10;1000;1;Armor Explosive Hardener I
Ammatar Navy Armor Kinetic Hardener;10;1000;1;Armor Kinetic Hardener I
Ammatar Navy Armor Thermic Hardener;10;1000;1;Armor Thermic Hardener I
Ammatar Navy Cap Recharger;10;1000;1;Cap Recharger I
Ammatar Navy Capacitor Power Relay;10;1000;1;Capacitor Power Relay I
Ammatar Navy Energized Adaptive Nano Membrane;10;1000;1;Energized Adaptive Nano Membrane I
Ammatar Navy Energized Magnetic Membrane;10;1000;1;Energized Magnetic Membrane I
Ammatar Navy Energized Reactive Membrane;10;1000;1;Energized Reactive Membrane I
Ammatar Navy Energized Reflective Membrane;10;1000;1;Energized Reflective Membrane I
Ammatar Navy Energized Thermic Membrane;10;1000;1;Energized Thermic Membrane I
Ammatar Navy Heat Sink;10;1000;1;Heat Sink I
Ammatar Navy Heavy Capacitor Booster;10;1000;1;Heavy Capacitor Booster I
Ammatar Navy Heavy Energy Neutralizer;10;1000;1;Heavy Energy Neutralizer I
Ammatar Navy Heavy Nosferatu;10;1000;1;Heavy Nosferatu I
Ammatar Navy Large EMP Smartbomb;10;1000;1;Large EMP Smartbomb I
Ammatar Navy Magnetic Plating;10;1000;1;Magnetic Plating I
Ammatar Navy Medium Capacitor Booster;10;1000;1;Medium Capacitor Booster I
Ammatar Navy Medium EMP Smartbomb;10;1000;1;Medium EMP Smartbomb I
Ammatar Navy Medium Energy Neutralizer;10;1000;1;Medium Energy Neutralizer I
Ammatar Navy Medium Nosferatu;10;1000;1;Medium Nosferatu I
Ammatar Navy Power Diagnostic System;10;1000;1;Power Diagnostic System I
Ammatar Navy Reactive Plating;10;1000;1;Reactive Plating I
Ammatar Navy Reactor Control Unit;10;1000;1;Reactor Control Unit I
Ammatar Navy Reflective Plating;10;1000;1;Reflective Plating I
Ammatar Navy Small Capacitor Booster;10;1000;1;Small Capacitor Booster I
Ammatar Navy Small EMP Smartbomb;10;1000;1;Small EMP Smartbomb I
Ammatar Navy Small Energy Neutralizer;10;1000;1;Small Energy Neutralizer I
Ammatar Navy Small Nosferatu;10;1000;1;Small Nosferatu I
Ammunition Assembly Array;10;5;1;NULL
Analyzer I;10;300;1;NULL
Analyzer II;10;100;2;Analyzer I
Anathema;10;10;2;Magnate
Angel Control Tower;0;5;1;Minmatar Control Tower
Angel Control Tower Medium;0;5;1;Minmatar Control Tower Medium
Angel Control Tower Small;0;5;1;Minmatar Control Tower Small
Angel Large Artillery Battery;10;3;1;Large Artillery Battery
Angel Large AutoCannon Battery;10;3;1;Large AutoCannon Battery
Angel Medium Artillery Battery;10;3;1;Medium Artillery Battery
Angel Medium AutoCannon Battery;10;3;1;Medium AutoCannon Battery
Angel Small Artillery Battery;10;3;1;Small Artillery Battery
Angel Small AutoCannon Battery;10;3;1;Small AutoCannon Battery
Angel Stasis Webification Battery;10;5;1;Stasis Webification Battery
Anshar;10;10;2;Obelisk
Antimatter Charge L;10;1500;1;NULL
Antimatter Charge M;10;1500;1;NULL
Antimatter Charge S;10;1500;1;NULL
Antimatter Charge XL;10;1000;1;NULL
Antimatter Reactor Unit;10;1000;2;NULL
Apocalypse;10;10;1;NULL
Apocalypse Imperial Issue;10;10;1;Apocalypse
Apocalypse Navy Issue;10;10;1;Apocalypse
Apotheosis;10;1000;1;NULL
Arazu;10;10;2;Celestis
Arbitrator;10;15;1;NULL
Archon;10;1;1;NULL
Ares;10;10;2;Atron
Ark;10;10;2;Providence
Arkonor Mining Crystal I;10;100;1;NULL
Arkonor Mining Crystal II;10;100;2;Arkonor Mining Crystal I
Armageddon;10;10;1;NULL
Armor EM Hardener I;10;300;1;NULL
Armor EM Hardener II;10;100;2;Armor EM Hardener I
Armor Explosive Hardener I;10;300;1;NULL
Armor Explosive Hardener II;10;100;2;Armor Explosive Hardener I
Armor Kinetic Hardener I;10;300;1;NULL
Armor Kinetic Hardener II;10;100;2;Armor Kinetic Hardener I
Armor Thermic Hardener I;10;300;1;NULL
Armor Thermic Hardener II;10;100;2;Armor Thermic Hardener I
Armored Warfare Link - Damage Control I;5;300;1;NULL
Armored Warfare Link - Damage Control II;5;100;2;Armored Warfare Link - Damage Control I
Armored Warfare Link - Passive Defense I;5;300;1;NULL
Armored Warfare Link - Passive Defense II;5;100;2;Armored Warfare Link - Passive Defense I
Armored Warfare Link - Rapid Repair I;5;300;1;NULL
Armored Warfare Link - Rapid Repair II;5;100;2;Armored Warfare Link - Rapid Repair I
'Arquebus' Heavy Beam Laser I;10;1000;1;Heavy Beam Laser I
Ashimmu;10;15;1;NULL
Assault Missile Launcher I;10;300;1;NULL
Assault Missile Launcher II;10;100;2;Assault Missile Launcher I
Astarte;10;10;2;Brutix
Atron;10;30;1;NULL
'Augmented' Acolyte;10;100;2;Acolyte I
'Augmented' Berserker;10;100;2;Berserker I
'Augmented' Hammerhead;10;100;2;Hammerhead I
'Augmented' Hobgoblin;10;100;2;Hobgoblin I
'Augmented' Hornet;10;100;2;Hornet I
'Augmented' Infiltrator;10;100;2;Infiltrator I
'Augmented' Ogre;10;100;2;Ogre I
'Augmented' Praetor;10;100;2;Praetor I
'Augmented' Valkyrie;10;100;2;Valkyrie I
'Augmented' Vespa;10;100;2;Vespa I
'Augmented' Warrior;10;100;2;Warrior I
'Augmented' Wasp;10;100;2;Wasp I
Augoror;10;15;1;NULL
Augoror Navy Issue;10;15;1;Augoror
'Aura' Warp Core Stabilizer I;10;1000;1;Warp Core Stabilizer I
Aurora L;10;100;2;Radio L
Aurora M;10;100;2;Radio M
Aurora Ominae;10;1;1;NULL
Aurora S;10;100;2;Radio S
Auto Targeting System I;10;300;1;NULL
Auto Targeting System II;10;100;2;Auto Targeting System I
Avatar;10;1;1;NULL
Badger;10;15;1;NULL
Badger Mark II;10;15;1;NULL
'Bailey' 1600mm Reinforced Steel Plates I;10;1000;1;1600mm Reinforced Steel Plates I
'Balefire' Rocket Launcher;10;1000;2;Rocket Launcher I
'Ballista' Tachyon Beam Laser I;10;1000;1;Tachyon Beam Laser I
Ballistic Control System I;10;300;1;NULL
Ballistic Control System II;10;100;2;Ballistic Control System I
Ballistic Deflection Array;10;5;1;NULL
Ballistic Deflection Field I;10;300;1;NULL
Ballistic Deflection Field II;10;100;2;Ballistic Deflection Field I
Ballistic 'Purge' Targeting System I;10;1000;1;Ballistic Control System I
Bantam;10;30;1;NULL
'Barbican' 800mm Reinforced Steel Plates I;10;1000;1;800mm Reinforced Steel Plates I
Barrage L;10;100;2;Nuclear L
Barrage M;10;100;2;Nuclear M
Barrage S;10;100;2;Nuclear S
'Barrage' Siege Missile Launcher;10;1000;2;Siege Missile Launcher I
Basic Robotics;5;1000;1;NULL
Basilisk;10;10;2;Osprey
'Bastion' 400mm Reinforced Steel Plates I;10;1000;1;400mm Reinforced Steel Plates I
'Beatnik' Small Remote Armor Repair System I;10;1000;1;Small Remote Armor Repair System I
Bellicose;10;15;1;NULL
Berserker I;10;1500;1;NULL
Berserker II;10;100;2;Berserker I
Berserker SW-900;10;1500;1;NULL
Berserker TP-900;10;1500;1;NULL
Bestower;10;15;1;NULL
Bhaalgorn;10;10;1;Armageddon
Biochemical Reactor Array;10;5;1;NULL
Biochemical Silo;10;5;1;NULL
Bistot Mining Crystal I;10;100;1;NULL
Bistot Mining Crystal II;10;100;2;Bistot Mining Crystal I
Blackbird;10;15;1;NULL
Blood Control Tower;0;5;1;Amarr Control Tower
Blood Control Tower Medium;0;5;1;Amarr Control Tower Medium
Blood Control Tower Small;0;5;1;Amarr Control Tower Small
Blood Energy Neutralizing Battery;10;5;1;Energy Neutralizing Battery
Blood Large Beam Laser Battery;10;3;1;Large Beam Laser Battery
Blood Large Pulse Laser Battery;10;3;1;Large Pulse Laser Battery
Blood Medium Beam Laser Battery;10;3;1;Medium Beam Laser Battery
Blood Medium Pulse Laser Battery;10;3;1;Medium Pulse Laser Battery
Blood Small Beam Laser Battery;10;3;1;Small Beam Laser Battery
Blood Small Pulse Laser Battery;10;3;1;Small Pulse Laser Battery
Bomb Launcher I;10;300;1;NULL
Bomb Launcher II;10;100;2;Bomb Launcher I
'Bootleg' ECCM Projector I;10;1000;1;ECCM Projector I
'Boss' Remote Sensor Booster I;10;1000;1;Remote Sensor Booster I
Bouncer I;10;1500;1;NULL
Bouncer II;10;100;2;Bouncer I
Breacher;10;30;1;NULL
Broadsword;10;10;2;Rupture
'Broker' Remote Sensor Dampener I;10;1000;1;Remote Sensor Dampener I
'Brotherhood' Small Remote Armor Repair System I;10;1000;1;Small Remote Armor Repair System I
Brutix;10;15;1;NULL
Burst;10;30;1;NULL
Bustard;10;10;2;Badger Mark II
Buzzard;10;10;2;Heron
Cactus Kinetic Deflection Amplifier;10;1000;2;Kinetic Deflection Amplifier I
Caldari Control Tower;10;5;1;NULL
Caldari Control Tower Medium;10;5;1;NULL
Caldari Control Tower Small;10;5;1;NULL
Caldari Fuel Block;5;300;1;NULL
Caldari Navy 200mm Railgun;10;1000;1;200mm Railgun I
Caldari Navy 350mm Railgun;10;1000;1;350mm Railgun I
Caldari Navy Ballistic Control System;10;1000;1;Ballistic Control System I
Caldari Navy Cloaking Device;10;1000;1;Prototype Cloaking Device I
Caldari Navy Co-Processor;10;1000;1;Co-Processor I
Caldari Navy Cruise Missile Launcher;10;1000;1;Cruise Missile Launcher I
Caldari Navy Explosion Dampening Amplifier;10;1000;1;Explosion Dampening Amplifier I
Caldari Navy Heat Dissipation Amplifier;10;1000;1;Heat Dissipation Amplifier I
Caldari Navy Heavy Assault Missile Launcher;10;1000;1;Heavy Assault Missile Launcher I
Caldari Navy Hookbill;10;30;1;NULL
Caldari Navy Kinetic Deflection Amplifier;10;1000;1;Kinetic Deflection Amplifier I
Caldari Navy Large Graviton Smartbomb;10;1000;1;Large Graviton Smartbomb I
Caldari Navy Magnetic Scattering Amplifier;10;1000;1;Magnetic Scattering Amplifier I
Caldari Navy Medium Graviton Smartbomb;10;1000;1;Medium Graviton Smartbomb I
Caldari Navy Micro Graviton Smartbomb;10;1000;1;NULL
Caldari Navy Rocket Launcher;10;1000;1;Rocket Launcher I
Caldari Navy Shield Boost Amplifier;10;300;1;Shield Boost Amplifier I
Caldari Navy Small Graviton Smartbomb;10;1000;1;Small Graviton Smartbomb I
Caldari Navy Stasis Webifier;10;1000;1;Stasis Webifier I
Caldari Navy Warp Disruptor;10;1000;1;Warp Disruptor I
Caldari Navy Warp Scrambler;10;1000;1;Warp Scrambler I
Caldari Research Outpost Platform;10;1;1;NULL
Caldari Shuttle;10;30;1;NULL
'Caltrop' Small Energy Neutralizer I;10;1000;1;Small Energy Neutralizer I
Cap Booster 100;10;1500;1;NULL
Cap Booster 150;10;1500;1;NULL
Cap Booster 200;10;1500;1;NULL
Cap Booster 25;10;1500;1;NULL
Cap Booster 400;10;1500;1;NULL
Cap Booster 50;10;1500;1;NULL
Cap Booster 75;10;1500;1;NULL
Cap Booster 800;10;1500;1;NULL
Cap Recharger I;10;300;1;NULL
Cap Recharger II;10;100;2;Cap Recharger I
Capacitor Flux Coil I;10;300;1;NULL
Capacitor Flux Coil II;10;100;2;Capacitor Flux Coil I
Capacitor Power Relay I;10;300;1;NULL
Capacitor Power Relay II;10;100;2;Capacitor Power Relay I
Capital Antimatter Reactor Unit;10;1000;2;NULL
Capital Armor Plates;10;5;1;NULL
Capital Armor Repairer I;10;10;1;NULL
Capital Capacitor Battery;10;5;1;NULL
Capital Cargo Bay;10;5;1;NULL
Capital Clone Vat Bay;10;5;1;NULL
Capital Coaxial Regenerative Projector;10;1000;1;Capital Remote Armor Repair System I
Capital Computer System;10;5;1;NULL
Capital Construction Parts;10;5;1;NULL
Capital Corporate Hangar Bay;10;5;1;NULL
Capital Crystalline Carbonide Armor Plate;10;1000;2;NULL
Capital Deflection Shield Emitter;10;1000;2;NULL
Capital Doomsday Weapon Mount;10;5;1;NULL
Capital Drone Bay;10;5;1;NULL
Capital Electrolytic Capacitor Unit;10;1000;2;NULL
Capital EM Pulse Generator;10;1000;2;NULL
Capital Energy Transfer Array I;10;10;1;NULL
Capital Fernite Carbide Composite Armor Plate;10;1000;2;NULL
Capital Fusion Reactor Unit;10;1000;2;NULL
Capital Fusion Thruster;10;1000;2;NULL
Capital Gravimetric Sensor Cluster;10;1000;2;NULL
Capital Graviton Pulse Generator;10;1000;2;NULL
Capital Graviton Reactor Unit;10;1000;2;NULL
Capital Inefficient Armor Repair Unit;10;1000;1;Capital Armor Repairer I
Capital Ion Thruster;10;1000;2;NULL
Capital Jump Bridge Array;10;5;1;NULL
Capital Jump Drive;10;5;1;NULL
Capital Ladar Sensor Cluster;10;1000;2;NULL
Capital Laser Focusing Crystals;10;1000;2;NULL
Capital Launcher Hardpoint;10;5;1;NULL
Capital Linear Shield Emitter;10;1000;2;NULL
Capital Magnetometric Sensor Cluster;10;1000;2;NULL
Capital Magpulse Thruster;10;1000;2;NULL
Capital Murky Energy Transmitter I;10;1000;1;Capital Energy Transfer Array I
Capital Murky Shield Screen Transmitter I;10;1000;1;Capital Shield Transporter I
Capital Nanoelectrical Microprocessor;10;1000;2;NULL
Capital Nanomechanical Microprocessor;10;1000;2;NULL
Capital Neutron Saturation Injector I;10;1000;1;Capital Shield Booster I
Capital Nuclear Pulse Generator;10;1000;2;NULL
Capital Nuclear Reactor Unit;10;1000;2;NULL
Capital Oscillator Capacitor Unit;10;1000;2;NULL
Capital Particle Accelerator Unit;10;1000;2;NULL
Capital Photon Microprocessor;10;1000;2;NULL
Capital Plasma Pulse Generator;10;1000;2;NULL
Capital Plasma Thruster;10;1000;2;NULL
Capital Power Generator;10;5;1;NULL
Capital Propulsion Engine;10;5;1;NULL
Capital Pulse Shield Emitter;10;1000;2;NULL
Capital Quantum Microprocessor;10;1000;2;NULL
Capital Radar Sensor Cluster;10;1000;2;NULL
Capital Remote Armor Repair System I;10;10;1;NULL
Capital Remote Hull Repair System I;10;10;1;NULL
Capital Scalar Capacitor Unit;10;1000;2;NULL
Capital Sensor Cluster;10;5;1;NULL
Capital Shield Booster I;10;10;1;NULL
Capital Shield Emitter;10;5;1;NULL
Capital Shield Transporter I;10;10;1;NULL
Capital Ship Assembly Array;10;5;1;NULL
Capital Ship Maintenance Array;10;5;1;NULL
Capital Ship Maintenance Bay;10;5;1;NULL
Capital Siege Array;10;5;1;NULL
Capital Superconductor Rails;10;1000;2;NULL
Capital Sustained Shield Emitter;10;1000;2;NULL
Capital Tesseract Capacitor Unit;10;1000;2;NULL
Capital Thermonuclear Trigger Unit;10;1000;2;NULL
Capital Titanium Diborite Armor Plate;10;1000;2;NULL
Capital Tractor Beam I;10;10;1;NULL
Capital Tractor Beam II;10;10;2;Capital Tractor Beam I
Capital Tungsten Carbide Armor Plate;10;1000;2;NULL
Capital Turret Hardpoint;10;5;1;NULL
'Capitalist' Magnetic Field Stabilizer I;10;1000;1;Magnetic Field Stabilizer I
Caracal;10;15;1;NULL
Caracal Navy Issue;10;15;1;Caracal
Carbonized Lead L;10;1500;1;NULL
Carbonized Lead M;10;1500;1;NULL
Carbonized Lead S;10;1500;1;NULL
Carbonized Lead XL;10;1000;1;NULL
Cargo Scanner I;10;300;1;NULL
Cargo Scanner II;10;100;2;Cargo Scanner I
'Cartel' Power Diagnostic System I;10;1000;1;Power Diagnostic System I
Catalyst;10;20;1;NULL
Catalyst Silo;10;5;1;NULL
'Catapult' Mega Beam Laser I;10;1000;1;Mega Beam Laser I
Celestis;10;15;1;NULL
'Censer' Medium Capacitor Battery I;10;1000;1;Medium Capacitor Battery I
Cerberus;10;10;2;Caracal
'Chainmail' 200mm Reinforced Steel Plates I;10;1000;1;200mm Reinforced Steel Plates I
Charon;10;1;1;NULL
Cheetah;10;10;2;Probe
Chimera;10;1;1;NULL
'Chivalry' Large Energy Transfer Array I;10;1000;1;Large Energy Transfer Array I
Citadel Cruise Launcher I;10;10;1;NULL
Citadel Torpedo Battery;10;5;1;NULL
Citadel Torpedo Launcher I;10;10;1;NULL
'Citadella' 50mm Reinforced Steel Plates I;10;1000;1;50mm Reinforced Steel Plates I
Civilian Ballistic Deflection Field;10;1000;1;NULL
Civilian Damage Control;10;1000;1;NULL
Civilian Explosion Dampening Field;10;1000;1;NULL
Civilian Heat Dissipation Field;10;1000;1;NULL
Civilian Mining Drone;5;1500;1;NULL
Civilian Photon Scattering Field;10;1000;1;NULL
Civilian Shield Booster I;10;300;1;NULL
Civilian Stasis Webifier;10;1000;1;NULL
Claw;10;10;2;Slasher
Claymore;10;10;2;Cyclone
Clone Vat Bay I;10;10;1;NULL
Codebreaker I;10;300;1;NULL
Codebreaker II;10;100;2;Codebreaker I
'Codex' Codebreaker I;10;1000;1;NULL
Coercer;10;20;1;NULL
Combat Scanner Probe I;5;1500;1;NULL
Command Processor I;5;300;1;NULL
Complex Reactor Array;10;5;1;NULL
Component Assembly Array;10;5;1;NULL
Compressed Arkonor;0;20;1;NULL
Compressed Azure Plagioclase;0;20;1;NULL
Compressed Bistot;0;20;1;NULL
Compressed Blue Ice;0;10;1;NULL
Compressed Bright Spodumain;0;20;1;NULL
Compressed Clear Icicle;0;10;1;NULL
Compressed Concentrated Veldspar;0;20;1;NULL
Compressed Condensed Scordite;0;20;1;NULL
Compressed Crimson Arkonor;0;20;1;NULL
Compressed Crokite;0;20;1;NULL
Compressed Crystalline Crokite;0;20;1;NULL
Compressed Dark Glitter;0;10;1;NULL
Compressed Dark Ochre;0;20;1;NULL
Compressed Dense Veldspar;0;20;1;NULL
Compressed Enriched Clear Icicle;0;10;1;NULL
Compressed Fiery Kernite;0;20;1;NULL
Compressed Gelidus;0;10;1;NULL
Compressed Glacial Mass;0;10;1;NULL
Compressed Glare Crust;0;10;1;NULL
Compressed Glazed Hedbergite;0;20;1;NULL
Compressed Gleaming Spodumain;0;20;1;NULL
Compressed Gneiss;0;20;1;NULL
Compressed Golden Omber;0;20;1;NULL
Compressed Hedbergite;0;20;1;NULL
Compressed Hemorphite;0;20;1;NULL
Compressed Iridescent Gneiss;0;20;1;NULL
Compressed Jaspet;0;20;1;NULL
Compressed Kernite;0;20;1;NULL
Compressed Krystallos;0;10;1;NULL
Compressed Luminous Kernite;0;20;1;NULL
Compressed Magma Mercoxit;0;20;1;NULL
Compressed Massive Scordite;0;20;1;NULL
Compressed Mercoxit;0;20;1;NULL
Compressed Monoclinic Bistot;0;20;1;NULL
Compressed Obsidian Ochre;0;20;1;NULL
Compressed Omber;0;20;1;NULL
Compressed Onyx Ochre;0;20;1;NULL
Compressed Plagioclase;0;20;1;NULL
Compressed Prime Arkonor;0;20;1;NULL
Compressed Prismatic Gneiss;0;20;1;NULL
Compressed Pristine Jaspet;0;20;1;NULL
Compressed Pristine White Glaze;0;10;1;NULL
Compressed Pure Jaspet;0;20;1;NULL
Compressed Pyroxeres;0;20;1;NULL
Compressed Radiant Hemorphite;0;20;1;NULL
Compressed Rich Plagioclase;0;20;1;NULL
Compressed Scordite;0;20;1;NULL
Compressed Sharp Crokite;0;20;1;NULL
Compressed Silvery Omber;0;20;1;NULL
Compressed Smooth Glacial Mass;0;10;1;NULL
Compressed Solid Pyroxeres;0;20;1;NULL
Compressed Spodumain;0;20;1;NULL
Compressed Thick Blue Ice;0;10;1;NULL
Compressed Triclinic Bistot;0;20;1;NULL
Compressed Veldspar;0;20;1;NULL
Compressed Viscous Pyroxeres;0;20;1;NULL
Compressed Vitreous Mercoxit;0;20;1;NULL
Compressed Vitric Hedbergite;0;20;1;NULL
Compressed Vivid Hemorphite;0;20;1;NULL
Compressed White Glaze;0;10;1;NULL
Concussion Bomb;10;300;1;NULL
Condor;10;30;1;NULL
Conflagration L;10;100;2;Xray L
Conflagration M;10;100;2;Xray M
Conflagration S;10;100;2;Xray S
Co-Processor I;10;300;1;NULL
Co-Processor II;10;100;2;Co-Processor I
Core Probe Launcher I;10;300;1;NULL
Core Probe Launcher II;10;100;2;Core Probe Launcher I
Core Scanner Probe I;5;1000;1;NULL
Cormorant;10;20;1;NULL
Corporate Hangar Array;10;5;1;NULL
'Corporate' Light Electron Blaster I;10;1000;1;Light Electron Blaster I
Coupling Array;10;5;1;NULL
Covert Cynosural Field Generator I;10;100;1;NULL
Covert Jump Portal Generator I;10;1;1;NULL
Covert Ops Cloaking Device II;10;100;2;Prototype Cloaking Device I
Covetor;10;10;1;NULL
Crane;10;10;2;Badger
Crokite Mining Crystal I;10;100;1;NULL
Crokite Mining Crystal II;10;100;2;Crokite Mining Crystal I
'Crossbow' Focused Medium Beam Laser I;10;1000;1;Focused Medium Beam Laser I
Crow;10;10;2;Condor
'Crucible' Small Capacitor Battery I;10;1000;1;Small Capacitor Battery I
Crucifier;10;30;1;NULL
Cruise Missile Battery;10;5;1;NULL
Cruise Missile Launcher I;10;300;1;NULL
Cruise Missile Launcher II;10;100;2;Cruise Missile Launcher I
Cruor;10;30;1;NULL
Crusader;10;10;2;Executioner
Cryptic Data Interface;10;10;1;NULL
Cryptic Ship Data Interface;10;10;1;NULL
Cryptic Tuner Data Interface;10;10;1;NULL
Crystalline Carbonide Armor Plate;10;1000;2;NULL
Curator I;10;1500;1;NULL
Curator II;10;100;2;Curator I
Curse;10;10;2;Arbitrator
Customs Office Gantry;0;1000;1;NULL
Cyclone;10;15;1;NULL
Cyclops;10;10;1;NULL
Cynabal;10;15;1;NULL
Cynosural Field Generator I;10;100;1;NULL
Cynosural Generator Array;10;5;1;NULL
Cynosural System Jammer;10;5;1;NULL
'Daemon' Codebreaker I;10;1000;1;NULL
Damage Control I;10;300;1;NULL
Damage Control II;10;100;2;Damage Control I
Damnation;10;10;2;Prophecy
Daredevil;10;30;1;NULL
Dark Blood Control Tower;0;5;1;Amarr Control Tower
Dark Blood Control Tower Medium;0;5;1;Amarr Control Tower Medium
