typeName;typeName;quantity;typeName;(No column name)
Armored Warfare Link - Passive Defense II;Datacore - Electromagnetic Physics;2;Electromagnetic Physics;NULL
Armored Warfare Link - Passive Defense II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
Armored Warfare Link - Rapid Repair II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Armored Warfare Link - Rapid Repair II;Datacore - Electromagnetic Physics;2;Electromagnetic Physics;NULL
Armored Warfare Link - Rapid Repair II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
Assault Missile Launcher II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Assault Missile Launcher II;Datacore - Rocket Science;2;Rocket Science;NULL
Assault Missile Launcher II;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Astarte;Incognito Ship Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Astarte;Datacore - Gallentean Starship Engineering;16;Gallentean Starship Engineering;NULL
Astarte;Datacore - Mechanical Engineering;16;Mechanical Engineering;NULL
Aurora L;Datacore - High Energy Physics;1;High Energy Physics;NULL
Aurora L;Datacore - Laser Physics;1;Laser Physics;NULL
Aurora L;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Aurora M;Datacore - High Energy Physics;1;High Energy Physics;NULL
Aurora M;Datacore - Laser Physics;1;Laser Physics;NULL
Aurora M;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Aurora S;Datacore - High Energy Physics;1;High Energy Physics;NULL
Aurora S;Datacore - Laser Physics;1;Laser Physics;NULL
Aurora S;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Auto Targeting System II;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
Auto Targeting System II;Datacore - Mechanical Engineering;1;Mechanical Engineering;NULL
Auto Targeting System II;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Ballistic Control System II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Ballistic Control System II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
Ballistic Control System II;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Ballistic Deflection Field II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Ballistic Deflection Field II;Datacore - Hydromagnetic Physics;2;Hydromagnetic Physics;NULL
Ballistic Deflection Field II;Datacore - Quantum Physics;2;Quantum Physics;NULL
Barrage L;Datacore - Rocket Science;1;Rocket Science;NULL
Barrage L;Datacore - Nuclear Physics;1;Nuclear Physics;NULL
Barrage L;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Barrage M;Datacore - Rocket Science;1;Rocket Science;NULL
Barrage M;Datacore - Nuclear Physics;1;Nuclear Physics;NULL
Barrage M;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Barrage S;Datacore - Rocket Science;1;Rocket Science;NULL
Barrage S;Datacore - Nuclear Physics;1;Nuclear Physics;NULL
Barrage S;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Basilisk;Esoteric Ship Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Basilisk;Datacore - Caldari Starship Engineering;8;Caldari Starship Engineering;NULL
Basilisk;Datacore - Mechanical Engineering;8;Mechanical Engineering;NULL
Berserker II;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Berserker II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Berserker II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Bistot Mining Crystal II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Bistot Mining Crystal II;Datacore - Laser Physics;3;Laser Physics;NULL
Bistot Mining Crystal II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Bomb Launcher II;Datacore - Rocket Science;1;Rocket Science;NULL
Bomb Launcher II;Datacore - Mechanical Engineering;1;Mechanical Engineering;NULL
Bomb Launcher II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Bouncer II;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Bouncer II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Bouncer II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Broadsword;Cryptic Ship Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Broadsword;Datacore - Minmatar Starship Engineering;8;Minmatar Starship Engineering;NULL
Broadsword;Datacore - Mechanical Engineering;8;Mechanical Engineering;NULL
Bustard;Esoteric Ship Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Bustard;Datacore - Caldari Starship Engineering;8;Caldari Starship Engineering;NULL
Bustard;Datacore - Mechanical Engineering;8;Mechanical Engineering;NULL
Buzzard;Esoteric Ship Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Buzzard;Datacore - Caldari Starship Engineering;2;Caldari Starship Engineering;NULL
Buzzard;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Cap Recharger II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Cap Recharger II;Datacore - High Energy Physics;2;High Energy Physics;NULL
Cap Recharger II;Datacore - Quantum Physics;2;Quantum Physics;NULL
Capacitor Flux Coil II;Datacore - High Energy Physics;1;High Energy Physics;NULL
Capacitor Flux Coil II;Datacore - Quantum Physics;1;Quantum Physics;NULL
Capacitor Flux Coil II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Capacitor Power Relay II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Capacitor Power Relay II;Datacore - High Energy Physics;2;High Energy Physics;NULL
Capacitor Power Relay II;Datacore - Quantum Physics;2;Quantum Physics;NULL
Capital Tractor Beam II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Capital Tractor Beam II;Datacore - High Energy Physics;6;High Energy Physics;NULL
Capital Tractor Beam II;Datacore - Laser Physics;6;Laser Physics;NULL
Cargo Scanner II;Datacore - Electromagnetic Physics;1;Electromagnetic Physics;NULL
Cargo Scanner II;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
Cargo Scanner II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Cerberus;Esoteric Ship Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Cerberus;Datacore - Caldari Starship Engineering;8;Caldari Starship Engineering;NULL
Cerberus;Datacore - Mechanical Engineering;8;Mechanical Engineering;NULL
Cheetah;Cryptic Ship Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Cheetah;Datacore - Minmatar Starship Engineering;2;Minmatar Starship Engineering;NULL
Cheetah;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Claw;Cryptic Ship Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Claw;Datacore - Minmatar Starship Engineering;2;Minmatar Starship Engineering;NULL
Claw;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Claymore;Cryptic Ship Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Claymore;Datacore - Minmatar Starship Engineering;16;Minmatar Starship Engineering;NULL
Claymore;Datacore - Mechanical Engineering;16;Mechanical Engineering;NULL
Codebreaker II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Codebreaker II;Datacore - Electromagnetic Physics;2;Electromagnetic Physics;NULL
Codebreaker II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
Conflagration L;Datacore - High Energy Physics;1;High Energy Physics;NULL
Conflagration L;Datacore - Laser Physics;1;Laser Physics;NULL
Conflagration L;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Conflagration M;Datacore - High Energy Physics;1;High Energy Physics;NULL
Conflagration M;Datacore - Laser Physics;1;Laser Physics;NULL
Conflagration M;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Conflagration S;Datacore - High Energy Physics;1;High Energy Physics;NULL
Conflagration S;Datacore - Laser Physics;1;Laser Physics;NULL
Conflagration S;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Co-Processor II;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Co-Processor II;Datacore - Electromagnetic Physics;2;Electromagnetic Physics;NULL
Co-Processor II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
Core Probe Launcher II;Datacore - Rocket Science;1;Rocket Science;NULL
Core Probe Launcher II;Datacore - Mechanical Engineering;1;Mechanical Engineering;NULL
Core Probe Launcher II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Covert Ops Cloaking Device II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Covert Ops Cloaking Device II;Datacore - Quantum Physics;2;Quantum Physics;NULL
Covert Ops Cloaking Device II;Datacore - Graviton Physics;2;Graviton Physics;NULL
Crane;Esoteric Ship Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Crane;Datacore - Caldari Starship Engineering;8;Caldari Starship Engineering;NULL
Crane;Datacore - Mechanical Engineering;8;Mechanical Engineering;NULL
Crokite Mining Crystal II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Crokite Mining Crystal II;Datacore - Laser Physics;3;Laser Physics;NULL
Crokite Mining Crystal II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Crow;Esoteric Ship Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Crow;Datacore - Caldari Starship Engineering;2;Caldari Starship Engineering;NULL
Crow;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Cruise Missile Launcher II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Cruise Missile Launcher II;Datacore - Rocket Science;3;Rocket Science;NULL
Cruise Missile Launcher II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Crusader;Occult Ship Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Crusader;Datacore - Amarrian Starship Engineering;2;Amarrian Starship Engineering;NULL
Crusader;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Curator II;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Curator II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Curator II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Curse;Occult Ship Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Curse;Datacore - Amarrian Starship Engineering;8;Amarrian Starship Engineering;NULL
Curse;Datacore - Mechanical Engineering;8;Mechanical Engineering;NULL
Damage Control II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Damage Control II;Datacore - Molecular Engineering;2;Molecular Engineering;NULL
Damage Control II;Datacore - Nanite Engineering;2;Nanite Engineering;NULL
Damnation;Occult Ship Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Damnation;Datacore - Amarrian Starship Engineering;16;Amarrian Starship Engineering;NULL
Damnation;Datacore - Mechanical Engineering;16;Mechanical Engineering;NULL
Dark Ochre Mining Crystal II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Dark Ochre Mining Crystal II;Datacore - Laser Physics;3;Laser Physics;NULL
Dark Ochre Mining Crystal II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Deimos;Incognito Ship Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Deimos;Datacore - Gallentean Starship Engineering;8;Gallentean Starship Engineering;NULL
Deimos;Datacore - Mechanical Engineering;8;Mechanical Engineering;NULL
Devoter;Occult Ship Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Devoter;Datacore - Amarrian Starship Engineering;8;Amarrian Starship Engineering;NULL
Devoter;Datacore - Mechanical Engineering;8;Mechanical Engineering;NULL
Drone Link Augmentor II;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Drone Link Augmentor II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
Drone Link Augmentor II;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Drone Navigation Computer II;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Drone Navigation Computer II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
Drone Navigation Computer II;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Dual 150mm Railgun II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Dual 150mm Railgun II;Datacore - Electromagnetic Physics;2;Electromagnetic Physics;NULL
Dual 150mm Railgun II;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Dual 180mm AutoCannon II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Dual 180mm AutoCannon II;Datacore - Nuclear Physics;2;Nuclear Physics;NULL
Dual 180mm AutoCannon II;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Dual 250mm Railgun II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Dual 250mm Railgun II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Dual 250mm Railgun II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Dual 425mm AutoCannon II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Dual 425mm AutoCannon II;Datacore - Nuclear Physics;3;Nuclear Physics;NULL
Dual 425mm AutoCannon II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Dual 650mm Repeating Artillery II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Dual 650mm Repeating Artillery II;Datacore - Nuclear Physics;3;Nuclear Physics;NULL
Dual 650mm Repeating Artillery II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Dual Heavy Beam Laser II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Dual Heavy Beam Laser II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Dual Heavy Beam Laser II;Datacore - Laser Physics;3;Laser Physics;NULL
Dual Heavy Pulse Laser II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Dual Heavy Pulse Laser II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Dual Heavy Pulse Laser II;Datacore - Laser Physics;3;Laser Physics;NULL
Dual Light Beam Laser II;Datacore - High Energy Physics;1;High Energy Physics;NULL
Dual Light Beam Laser II;Datacore - Laser Physics;1;Laser Physics;NULL
Dual Light Beam Laser II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Dual Light Pulse Laser II;Datacore - High Energy Physics;1;High Energy Physics;NULL
Dual Light Pulse Laser II;Datacore - Laser Physics;1;Laser Physics;NULL
Dual Light Pulse Laser II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Eagle;Esoteric Ship Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Eagle;Datacore - Caldari Starship Engineering;8;Caldari Starship Engineering;NULL
Eagle;Datacore - Mechanical Engineering;8;Mechanical Engineering;NULL
ECCM - Gravimetric II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
ECCM - Gravimetric II;Datacore - Electromagnetic Physics;2;Electromagnetic Physics;NULL
ECCM - Gravimetric II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
ECCM - Ladar II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
ECCM - Ladar II;Datacore - Electromagnetic Physics;2;Electromagnetic Physics;NULL
ECCM - Ladar II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
