typeID;groupID;marketGroupID;typeName
405;41;604;Micro Shield Transporter I
406;41;604;Micro Shield Transporter II
421;43;665;Basic Capacitor Recharger
434;46;131;1MN MicroWarpdrive I
438;46;542;1MN Afterburner II
439;46;542;1MN Afterburner I
440;46;131;1MN MicroWarpdrive II
442;47;711;Cargo Scanner I
443;48;713;Ship Scanner I
444;49;714;Survey Scanner I
447;52;682;Warp Scrambler I
448;52;682;Warp Scrambler II
450;53;570;Gatling Pulse Laser I
451;53;570;Dual Light Pulse Laser I
452;53;567;Dual Light Beam Laser I
453;53;570;Medium Pulse Laser I
454;53;567;Medium Beam Laser I
455;53;568;Quad Light Beam Laser I
456;53;572;Focused Medium Pulse Laser I
457;53;568;Focused Medium Beam Laser I
458;53;572;Heavy Pulse Laser I
459;53;568;Heavy Beam Laser I
460;53;573;Dual Heavy Pulse Laser I
461;53;569;Dual Heavy Beam Laser I
462;53;573;Mega Pulse Laser I
463;53;569;Mega Beam Laser I
464;53;569;Tachyon Beam Laser I
482;54;1039;Miner II
483;54;1039;Miner I
484;55;574;125mm Gatling AutoCannon I
485;55;574;150mm Light AutoCannon I
486;55;574;200mm AutoCannon I
487;55;577;250mm Light Artillery Cannon I
488;55;577;280mm Howitzer Artillery I
489;55;575;Dual 180mm AutoCannon I
490;55;575;220mm Vulcan AutoCannon I
491;55;575;425mm AutoCannon I
492;55;578;650mm Artillery Cannon I
493;55;578;720mm Howitzer Artillery I
494;55;576;Dual 425mm AutoCannon I
495;55;576;Dual 650mm Repeating Artillery I
496;55;576;800mm Repeating Artillery I
497;55;579;1200mm Artillery Cannon I
498;55;579;1400mm Howitzer Artillery I
499;509;640;Standard Missile Launcher I
501;510;642;Heavy Missile Launcher I
503;508;644;Siege Missile Launcher I
506;767;667;Basic Capacitor Power Relay
508;770;687;Basic Shield Flux Coil
509;768;666;Basic Capacitor Flux Coil
518;59;646;Basic Gyrostabilizer
519;59;646;Gyrostabilizer II
520;59;646;Gyrostabilizer I
521;60;615;Basic Damage Control
522;61;702;Micro Capacitor Battery I
523;62;1049;Small Armor Repairer I
524;63;1053;Small Hull Repairer I
526;65;683;Stasis Webifier I
527;65;683;Stasis Webifier II
529;67;695;Small Energy Transfer Array I
530;68;692;Small Nosferatu I
533;71;689;Small Energy Neutralizer I
561;74;564;75mm Gatling Rail I
562;74;561;Light Electron Blaster I
563;74;561;Light Ion Blaster I
564;74;561;Light Neutron Blaster I
565;74;564;150mm Railgun I
566;74;562;Heavy Electron Blaster I
567;74;565;Dual 150mm Railgun I
568;74;562;Heavy Neutron Blaster I
569;74;562;Heavy Ion Blaster I
570;74;565;250mm Railgun I
571;74;563;Electron Blaster Cannon I
572;74;566;Dual 250mm Railgun I
573;74;563;Neutron Blaster Cannon I
574;74;566;425mm Railgun I
575;74;563;Ion Blaster Cannon I
577;76;700;Medium Capacitor Booster I
578;77;553;Invulnerability Field I
580;80;678;ECM Burst I
581;82;672;Passive Targeter I
582;25;61;Bantam
583;25;61;Condor
584;25;61;Griffin
585;25;64;Slasher
586;25;64;Probe
587;25;64;Rifter
589;25;72;Executioner
590;25;72;Inquisitor
591;25;72;Tormentor
592;25;77;Navitas
593;25;77;Tristan
594;25;77;Incursus
597;25;72;Punisher
598;25;64;Breacher
599;25;64;Burst
602;25;61;Kestrel
603;25;61;Merlin
605;25;61;Heron
607;25;77;Imicus
608;25;77;Atron
609;25;77;Maulus
620;26;75;Osprey
621;26;75;Caracal
622;26;73;Stabber
623;26;75;Moa
624;26;74;Maller
625;26;74;Augoror
626;26;76;Vexor
627;26;76;Thorax
628;26;74;Arbitrator
629;26;73;Rupture
630;26;73;Bellicose
631;26;73;Scythe
632;26;75;Blackbird
633;26;76;Celestis
634;26;76;Exequror
638;27;80;Raven
639;27;78;Tempest
640;27;80;Scorpion
641;27;81;Megathron
642;27;79;Apocalypse
643;27;79;Armageddon
644;27;78;Typhoon
645;27;81;Dominix
648;28;84;Badger
649;28;84;Badger Mark II
650;28;83;Iteron
651;28;82;Hoarder
652;28;82;Mammoth
653;28;82;Wreathe
654;28;83;Iteron Mark II
655;28;83;Iteron Mark III
656;28;83;Iteron Mark IV
657;28;83;Iteron Mark V
671;30;815;Erebus
672;31;396;Caldari Shuttle
683;105;261;Bantam Blueprint
684;105;261;Condor Blueprint
685;105;261;Griffin Blueprint
686;106;275;Osprey Blueprint
687;106;275;Caracal Blueprint
688;107;280;Raven Blueprint
689;105;264;Slasher Blueprint
690;105;264;Probe Blueprint
691;105;264;Rifter Blueprint
692;106;273;Stabber Blueprint
693;107;278;Tempest Blueprint
784;134;338;Miner II Blueprint
785;134;338;Miner I Blueprint
786;136;340;Standard Missile Launcher I Blueprint
788;136;340;Heavy Missile Launcher I Blueprint
790;136;340;Siege Missile Launcher I Blueprint
803;166;317;Mjolnir Cruise Missile Blueprint
804;166;317;Trauma Cruise Missile Blueprint
805;166;317;Inferno Cruise Missile Blueprint
806;166;317;Nova Cruise Missile Blueprint
807;166;317;Nova Heavy Missile Blueprint
808;166;317;Mjolnir Heavy Missile Blueprint
809;166;317;Inferno Heavy Missile Blueprint
810;166;317;Trauma Heavy Missile Blueprint
811;166;317;Trauma Light Missile Blueprint
812;166;317;Inferno Light Missile Blueprint
813;166;317;Mjolnir Light Missile Blueprint
814;166;317;Nova Light Missile Blueprint
819;135;296;125mm Gatling AutoCannon I Blueprint
820;135;296;150mm Light AutoCannon I Blueprint
821;135;296;200mm AutoCannon I Blueprint
822;135;296;250mm Light Artillery Cannon I Blueprint
823;135;296;280mm Howitzer Artillery I Blueprint
824;135;297;Dual 180mm AutoCannon I Blueprint
825;135;297;220mm Vulcan AutoCannon I Blueprint
826;135;297;425mm AutoCannon I Blueprint
827;135;297;650mm Artillery Cannon I Blueprint
828;135;297;720mm Howitzer Artillery I Blueprint
829;135;298;Dual 425mm AutoCannon I Blueprint
830;135;298;Dual 650mm Repeating Artillery I Blueprint
831;135;298;800mm Repeating Artillery I Blueprint
832;135;298;1200mm Artillery Cannon I Blueprint
833;135;298;1400mm Howitzer Artillery I Blueprint
834;133;292;Gatling Pulse Laser I Blueprint
835;133;292;Dual Light Pulse Laser I Blueprint
836;133;292;Dual Light Beam Laser I Blueprint
837;133;292;Medium Pulse Laser I Blueprint
838;133;292;Medium Beam Laser I Blueprint
839;133;293;Quad Light Beam Laser I Blueprint
840;133;293;Focused Medium Pulse Laser I Blueprint
841;133;293;Focused Medium Beam Laser I Blueprint
842;133;293;Heavy Pulse Laser I Blueprint
843;133;293;Heavy Beam Laser I Blueprint
844;133;295;Dual Heavy Pulse Laser I Blueprint
845;133;295;Dual Heavy Beam Laser I Blueprint
846;133;295;Mega Pulse Laser I Blueprint
847;133;295;Mega Beam Laser I Blueprint
848;133;295;Tachyon Beam Laser I Blueprint
879;165;313;Carbonized Lead S Blueprint
880;165;313;Nuclear S Blueprint
881;165;313;Proton S Blueprint
882;165;313;Depleted Uranium S Blueprint
883;165;313;Titanium Sabot S Blueprint
884;165;313;Fusion S Blueprint
885;165;313;Phased Plasma S Blueprint
886;165;313;EMP S Blueprint
887;165;312;Carbonized Lead M Blueprint
888;165;312;Nuclear M Blueprint
889;165;312;Proton M Blueprint
890;165;312;Depleted Uranium M Blueprint
891;165;312;Titanium Sabot M Blueprint
892;165;312;Fusion M Blueprint
893;165;312;Phased Plasma M Blueprint
894;165;312;EMP M Blueprint
895;165;309;Carbonized Lead L Blueprint
896;165;309;Nuclear L Blueprint
897;165;309;Proton L Blueprint
898;165;309;Depleted Uranium L Blueprint
899;165;309;Titanium Sabot L Blueprint
900;165;309;Fusion L Blueprint
901;165;309;Phased Plasma L Blueprint
902;165;309;EMP L Blueprint
936;105;272;Executioner Blueprint
937;105;272;Inquisitor Blueprint
938;105;272;Tormentor Blueprint
939;105;277;Navitas Blueprint
940;105;277;Tristan Blueprint
941;105;277;Incursus Blueprint
944;105;272;Punisher Blueprint
945;105;264;Breacher Blueprint
946;105;264;Burst Blueprint
949;105;261;Kestrel Blueprint
950;105;261;Merlin Blueprint
952;105;261;Heron Blueprint
954;105;277;Imicus Blueprint
955;105;277;Atron Blueprint
956;105;277;Maulus Blueprint
967;111;416;Caldari Shuttle Blueprint
968;106;275;Moa Blueprint
969;106;274;Maller Blueprint
970;106;274;Augoror Blueprint
971;106;276;Vexor Blueprint
972;106;276;Thorax Blueprint
973;106;274;Arbitrator Blueprint
974;106;273;Rupture Blueprint
975;106;273;Bellicose Blueprint
976;106;273;Scythe Blueprint
977;106;275;Blackbird Blueprint
978;106;276;Celestis Blueprint
979;106;276;Exequror Blueprint
983;108;284;Badger Blueprint
984;108;284;Badger Mark II Blueprint
985;108;283;Iteron Blueprint
986;108;282;Hoarder Blueprint
987;108;282;Mammoth Blueprint
988;108;282;Wreathe Blueprint
989;108;283;Iteron Mark II Blueprint
990;108;283;Iteron Mark III Blueprint
991;108;283;Iteron Mark IV Blueprint
992;108;283;Iteron Mark V Blueprint
994;107;280;Scorpion Blueprint
995;107;281;Megathron Blueprint
996;107;279;Apocalypse Blueprint
997;107;279;Armageddon Blueprint
998;107;278;Typhoon Blueprint
999;107;281;Dominix Blueprint
1002;110;886;Erebus Blueprint
1010;118;326;Small Shield Extender I Blueprint
1013;118;326;Small Shield Extender II Blueprint
1026;119;326;Shield Recharger I Blueprint
1027;119;326;Shield Recharger II Blueprint
1032;120;328;Small Shield Booster I Blueprint
1067;126;331;1MN MicroWarpdrive I Blueprint
1071;126;331;1MN Afterburner II Blueprint
1072;126;331;1MN Afterburner I Blueprint
1073;126;331;1MN MicroWarpdrive II Blueprint
1074;127;325;Cargo Scanner I Blueprint
1075;128;325;Ship Scanner I Blueprint
1076;129;325;Survey Scanner I Blueprint
1079;132;323;Warp Scrambler I Blueprint
1095;139;343;Gyrostabilizer II Blueprint
1096;139;343;Gyrostabilizer I Blueprint
1099;142;334;Small Armor Repairer I Blueprint
1100;143;334;Small Hull Repairer I Blueprint
1102;145;323;Stasis Webifier I Blueprint
1105;147;329;Small Energy Transfer Array I Blueprint
1106;148;329;Small Nosferatu I Blueprint
1109;151;329;Small Energy Neutralizer I Blueprint
1112;154;291;75mm Gatling Rail I Blueprint
1113;154;291;Light Electron Blaster I Blueprint
1114;154;291;Light Ion Blaster I Blueprint
1115;154;291;Light Neutron Blaster I Blueprint
1116;154;291;150mm Railgun I Blueprint
1117;154;290;Heavy Electron Blaster I Blueprint
1118;154;290;Dual 150mm Railgun I Blueprint
1119;154;290;Heavy Neutron Blaster I Blueprint
1120;154;290;Heavy Ion Blaster I Blueprint
1121;154;290;250mm Railgun I Blueprint
1122;154;289;Electron Blaster Cannon I Blueprint
1123;154;289;Dual 250mm Railgun I Blueprint
1124;154;289;Neutron Blaster Cannon I Blueprint
1125;154;289;425mm Railgun I Blueprint
1126;154;289;Ion Blaster Cannon I Blueprint
1128;156;329;Medium Capacitor Booster I Blueprint
1129;157;328;Invulnerability Field I Blueprint
1130;167;307;Iron Charge S Blueprint
1131;167;307;Tungsten Charge S Blueprint
1132;167;307;Iridium Charge S Blueprint
1133;167;307;Lead Charge S Blueprint
1134;167;307;Thorium Charge S Blueprint
1135;167;307;Uranium Charge S Blueprint
1136;167;307;Plutonium Charge S Blueprint
1137;167;307;Antimatter Charge S Blueprint
1138;167;308;Iron Charge M Blueprint
1139;167;308;Tungsten Charge M Blueprint
1140;167;308;Iridium Charge M Blueprint
1141;167;308;Lead Charge M Blueprint
1142;167;308;Thorium Charge M Blueprint
1143;167;308;Uranium Charge M Blueprint
1144;167;308;Plutonium Charge M Blueprint
1145;167;308;Antimatter Charge M Blueprint
1146;167;306;Iron Charge L Blueprint
1147;167;306;Tungsten Charge L Blueprint
1148;167;306;Iridium Charge L Blueprint
1149;167;306;Lead Charge L Blueprint
1150;167;306;Thorium Charge L Blueprint
1151;167;306;Uranium Charge L Blueprint
1152;167;306;Plutonium Charge L Blueprint
1153;167;306;Antimatter Charge L Blueprint
1154;168;302;Radio S Blueprint
1155;168;302;Microwave S Blueprint
1156;168;302;Infrared S Blueprint
1157;168;302;Standard S Blueprint
1158;168;302;Ultraviolet S Blueprint
1159;168;302;Xray S Blueprint
1160;168;302;Gamma S Blueprint
1161;168;302;Multifrequency S Blueprint
1162;168;303;Radio M Blueprint
1163;168;303;Microwave M Blueprint
1164;168;303;Infrared M Blueprint
1165;168;303;Standard M Blueprint
1166;168;303;Ultraviolet M Blueprint
1167;168;303;Xray M Blueprint
1168;168;303;Gamma M Blueprint
1169;168;303;Multifrequency M Blueprint
1170;168;305;Radio L Blueprint
1171;168;305;Microwave L Blueprint
1172;168;305;Infrared L Blueprint
1173;168;305;Standard L Blueprint
1174;168;305;Ultraviolet L Blueprint
1175;168;305;Xray L Blueprint
1176;168;305;Gamma L Blueprint
1177;168;305;Multifrequency L Blueprint
1178;169;339;Cap Booster 25 Blueprint
1179;169;339;Cap Booster 50 Blueprint
1182;96;670;Auto Targeting System I
1183;62;1049;Small Armor Repairer II
1185;61;703;Small Capacitor Battery I
1186;141;327;Small Capacitor Battery I Blueprint
1190;67;695;Small Energy Transfer Array II
1192;764;1087;Basic Overdrive Injector System
1193;98;540;Basic Reflective Plating
1195;43;665;Cap Recharger I
1196;123;327;Cap Recharger I Blueprint
1197;98;540;Reflective Plating I
1198;98;540;Reflective Plating II
1201;100;839;Wasp I
1202;101;158;Civilian Mining Drone
1204;163;333;Reflective Plating I Blueprint
1205;163;333;Reflective Plating II Blueprint
1208;162;324;Auto Targeting System I Blueprint
1210;160;323;ECM Burst I Blueprint
1212;161;324;Passive Targeter I Blueprint
1214;176;359;Wasp I Blueprint
1215;170;316;Defender I Blueprint
1216;166;315;Seeker F.O.F. Light Missile I Blueprint
1218;177;358;Civilian Mining Drone Blueprint
1220;166;318;Trauma Rocket Blueprint
1221;166;390;Trauma Torpedo Blueprint
1223;451;514;Bistot
1224;459;515;Pyroxeres
1225;452;521;Crokite
1226;456;529;Jaspet
1227;469;526;Omber
1228;460;519;Scordite
1229;467;525;Gneiss
1230;462;518;Veldspar
1231;455;528;Hemorphite
1232;453;522;Dark Ochre
1236;764;1087;Overdrive Injector System II
1240;78;1195;Basic Reinforced Bulkheads
1242;763;1196;Basic Nanofiber Internal Structure
1244;764;1087;Overdrive Injector System I
1245;158;332;Overdrive Injector System I Blueprint
1246;768;666;Capacitor Flux Coil I
1247;137;327;Capacitor Flux Coil I Blueprint
1248;768;666;Capacitor Flux Coil II
1254;770;687;Shield Flux Coil I
1255;137;326;Shield Flux Coil I Blueprint
1256;770;687;Shield Flux Coil II
1262;98;540;Basic Reactive Plating
1264;98;540;Reactive Plating I
1265;163;333;Reactive Plating I Blueprint
1266;98;540;Reactive Plating II
1267;163;333;Reactive Plating II Blueprint
1272;98;540;Basic Regenerative Plating
1274;98;540;Regenerative Plating I
1275;163;333;Regenerative Plating I Blueprint
1276;98;540;Regenerative Plating II
1277;163;333;Regenerative Plating II Blueprint
1282;98;540;Basic Magnetic Plating
1284;98;540;Magnetic Plating I
1285;163;333;Magnetic Plating I Blueprint
1286;98;540;Magnetic Plating II
1287;163;333;Magnetic Plating II Blueprint
1292;98;540;Basic Thermic Plating
1294;98;540;Thermic Plating I
1295;163;333;Thermic Plating I Blueprint
1296;98;540;Thermic Plating II
1297;163;333;Thermic Plating II Blueprint
1302;98;540;Basic Adaptive Nano Plating
1304;98;540;Adaptive Nano Plating I
1305;163;333;Adaptive Nano Plating I Blueprint
1306;98;540;Adaptive Nano Plating II
1307;163;333;Adaptive Nano Plating II Blueprint
1315;765;1197;Basic Expanded Cargohold
1317;765;1197;Expanded Cargohold I
1318;158;335;Expanded Cargohold I Blueprint
1319;765;1197;Expanded Cargohold II
1333;78;1195;Reinforced Bulkheads I
1334;158;335;Reinforced Bulkheads I Blueprint
1335;78;1195;Reinforced Bulkheads II
1351;769;659;Basic Reactor Control Unit
1353;769;659;Reactor Control Unit I
1354;137;327;Reactor Control Unit I Blueprint
1355;769;659;Reactor Control Unit II
1356;137;327;Reactor Control Unit II Blueprint
1401;762;1086;Basic Inertia Stabilizers
1403;762;1086;Inertia Stabilizers I
1404;158;332;Inertia Stabilizers I Blueprint
1405;762;1086;Inertia Stabilizers II
1419;57;688;Basic Shield Power Relay
1422;57;688;Shield Power Relay II
1436;96;670;Auto Targeting System II
1445;767;667;Capacitor Power Relay I
1446;137;327;Capacitor Power Relay I Blueprint
1447;767;667;Capacitor Power Relay II
1537;766;658;Basic Power Diagnostic System
1539;766;658;Power Diagnostic System I
1540;137;327;Power Diagnostic System I Blueprint
1541;766;658;Power Diagnostic System II
1542;137;327;Power Diagnostic System II Blueprint
1547;72;382;Small Proton Smartbomb I
1548;152;341;Small Proton Smartbomb I Blueprint
1549;72;382;Small Proton Smartbomb II
1550;152;341;Small Proton Smartbomb II Blueprint
1551;72;382;Small Graviton Smartbomb I
1552;152;341;Small Graviton Smartbomb I Blueprint
1553;72;382;Small Graviton Smartbomb II
1554;152;341;Small Graviton Smartbomb II Blueprint
1557;72;382;Small Plasma Smartbomb I
1558;152;341;Small Plasma Smartbomb I Blueprint
1559;72;382;Small Plasma Smartbomb II
1560;152;341;Small Plasma Smartbomb II Blueprint
1563;72;382;Small EMP Smartbomb I
1564;152;341;Small EMP Smartbomb I Blueprint
1565;72;382;Small EMP Smartbomb II
1566;152;341;Small EMP Smartbomb II Blueprint
1798;295;550;Basic Magnetic Scattering Amplifier
1800;295;550;Basic Heat Dissipation Amplifier
1802;295;550;Basic Kinetic Deflection Amplifier
1804;295;550;Basic Explosion Dampening Amplifier
1808;295;550;Magnetic Scattering Amplifier I
1809;296;326;Magnetic Scattering Amplifier I Blueprint
1810;394;914;Serpent F.O.F. Light Missile I
1811;166;315;Serpent F.O.F. Light Missile I Blueprint
1814;394;914;Exterminator F.O.F. Light Missile I
1815;166;315;Exterminator F.O.F. Light Missile I Blueprint
1816;394;914;Firefly F.O.F. Light Missile I
1817;166;315;Firefly F.O.F. Light Missile I Blueprint
1818;395;914;Hydra F.O.F. Heavy Missile I
1819;166;315;Hydra F.O.F. Heavy Missile I Blueprint
1820;395;914;Stalker F.O.F. Heavy Missile I
1821;166;315;Stalker F.O.F. Heavy Missile I Blueprint
1822;395;914;Eradicator F.O.F. Heavy Missile I
1823;166;315;Eradicator F.O.F. Heavy Missile I Blueprint
1824;395;914;Hellhound F.O.F. Heavy Missile I
1825;166;315;Hellhound F.O.F. Heavy Missile I Blueprint
1826;396;914;Dragon F.O.F. Cruise Missile I
1827;166;315;Dragon F.O.F. Cruise Missile I Blueprint
1828;396;914;Hunter F.O.F. Cruise Missile I
1829;166;315;Hunter F.O.F. Cruise Missile I Blueprint
1830;396;914;Obliterator F.O.F. Cruise Missile I
1831;166;315;Obliterator F.O.F. Cruise Missile I Blueprint
1832;396;914;Phoenix F.O.F. Cruise Missile I
1833;166;315;Phoenix F.O.F. Cruise Missile I Blueprint
1855;48;713;Ship Scanner II
1875;511;641;Assault Missile Launcher I
1876;136;340;Assault Missile Launcher I Blueprint
1877;511;641;Assault Missile Launcher II
1878;136;340;Assault Missile Launcher II Blueprint
1893;205;647;Basic Heat Sink
1944;28;85;Bestower
1945;108;285;Bestower Blueprint
1946;203;722;Basic RADAR Backup Array
1947;202;729;ECCM - Radar I
1948;201;715;ECM - Ion Field Projector I
1949;210;669;Basic Signal Amplifier
1951;211;707;Basic Tracking Enhancer
1952;212;671;Sensor Booster II
1955;201;717;ECM - Spatial Destabilizer I
1956;201;718;ECM - White Noise Generator I
1957;201;719;ECM - Multispectral Jammer I
1958;201;716;ECM - Phase Inverter I
1959;289;686;ECCM Projector I
1960;289;686;ECCM Projector II
1963;290;673;Remote Sensor Booster I
1964;290;673;Remote Sensor Booster II
1968;208;679;Remote Sensor Dampener I
1969;208;679;Remote Sensor Dampener II
1973;212;671;Sensor Booster I
1977;213;706;Tracking Computer I
1978;213;706;Tracking Computer II
1982;203;721;Basic LADAR Backup Array
1983;203;720;Basic Gravimetric Backup Array
1984;203;723;Basic Magnetometric Backup Array
1985;203;724;Basic Multi Sensor Backup Array
1986;210;669;Signal Amplifier I
1987;210;669;Signal Amplifier II
1998;211;707;Tracking Enhancer I
1999;211;707;Tracking Enhancer II
2001;1016;1282;Cynosural Suppression
2002;202;726;ECCM - Ladar I
2003;202;727;ECCM - Magnetometric I
2004;202;725;ECCM - Gravimetric I
2005;202;728;ECCM - Omni I
2006;26;74;Omen
2007;106;274;Omen Blueprint
2008;1016;1282;Cynosural Navigation
2009;1016;1282;Supercapital Construction Facilities
2018;61;704;Medium Capacitor Battery I
2019;141;327;Medium Capacitor Battery I Blueprint
2020;61;705;Large Capacitor Battery I
2021;141;327;Large Capacitor Battery I Blueprint
2024;76;700;Medium Capacitor Booster II
2026;1021;1284;Pirate Detection Array 1
2027;1021;1284;Pirate Detection Array 2
2028;1021;1284;Pirate Detection Array 3
2029;1021;1284;Pirate Detection Array 4
2030;1021;1284;Pirate Detection Array 5
2031;1021;1284;Entrapment Array 1
2032;43;665;Cap Recharger II
2033;123;327;Cap Recharger II Blueprint
2034;1021;1284;Entrapment Array 2
2035;1021;1284;Entrapment Array 3
2036;1021;1284;Entrapment Array 4
2037;1021;1284;Entrapment Array 5
2038;47;711;Cargo Scanner II
2040;1020;1283;Ore Prospecting Array 1
2041;1020;1283;Ore Prospecting Array 2
2042;1020;1283;Ore Prospecting Array 3
2043;1020;1283;Ore Prospecting Array 4
2044;1020;1283;Ore Prospecting Array 5
2046;60;615;Damage Control I
2047;140;333;Damage Control I Blueprint
2048;60;615;Damage Control II
2053;1020;1283;Survey Networks 1
2054;1020;1283;Survey Networks 2
2055;1020;1283;Survey Networks 3
2056;1020;1283;Survey Networks 4
2057;1020;1283;Survey Networks 5
2058;1021;1284;Quantum Flux Generator 1
2059;1021;1284;Quantum Flux Generator 2
2060;1021;1284;Quantum Flux Generator 3
2061;1021;1284;Quantum Flux Generator 4
2062;1021;1284;Quantum Flux Generator 5
2073;1035;1333;Microorganisms
2078;1022;1395;Zephyr
2103;209;708;Tracking Link I
2104;209;708;Tracking Link II
2108;291;680;Tracking Disruptor I
2109;291;680;Tracking Disruptor II
2117;80;678;ECM Burst II
2161;25;72;Crucifier
2162;105;272;Crucifier Blueprint
2173;100;838;Infiltrator I
2174;176;359;Infiltrator I Blueprint
2175;100;838;Infiltrator II
2176;176;359;Infiltrator II Blueprint
2178;1019;1317;Guristas Nova Citadel Cruise Missile
2180;1019;1317;Guristas Trauma Citadel Cruise Missile
2182;1019;1317;Guristas Inferno Citadel Cruise Missile
2183;100;838;Hammerhead I
2184;176;359;Hammerhead I Blueprint
2185;100;838;Hammerhead II
2186;176;359;Hammerhead II Blueprint
2188;1019;1317;Guristas Mjolnir Citadel Cruise Missile
2193;100;839;Praetor I
2194;176;359;Praetor I Blueprint
2195;100;839;Praetor II
2196;176;359;Praetor II Blueprint
2203;100;837;Acolyte I
2204;176;359;Acolyte I Blueprint
2205;100;837;Acolyte II
2206;176;359;Acolyte II Blueprint
2254;1027;1322;Temperate Command Center
2258;202;728;ECCM - Omni II
2259;202;725;ECCM - Gravimetric II
2260;202;726;ECCM - Ladar II
2261;202;727;ECCM - Magnetometric II
2262;202;729;ECCM - Radar II
2267;1032;1333;Base Metals
2268;1033;1333;Aqueous Liquids
2270;1032;1333;Noble Metals
2272;1032;1333;Heavy Metals
2281;77;553;Invulnerability Field II
2282;157;328;Invulnerability Field II Blueprint
2286;1035;1333;Planktic Colonies
2287;1035;1333;Complex Organisms
2288;1035;1333;Carbon Compounds
2289;77;553;Explosion Dampening Field I
2290;157;328;Explosion Dampening Field I Blueprint
2291;77;553;Ballistic Deflection Field I
2292;157;328;Ballistic Deflection Field I Blueprint
2293;77;553;Photon Scattering Field I
2294;157;328;Photon Scattering Field I Blueprint
2295;77;553;Heat Dissipation Field I
2296;157;328;Heat Dissipation Field I Blueprint
2297;77;553;Explosion Dampening Field II
2298;157;328;Explosion Dampening Field II Blueprint
2299;77;553;Ballistic Deflection Field II
2300;157;328;Ballistic Deflection Field II Blueprint
2301;77;553;Photon Scattering Field II
2302;157;328;Photon Scattering Field II Blueprint
2303;77;553;Heat Dissipation Field II
2304;157;328;Heat Dissipation Field II Blueprint
2305;1035;1333;Autotrophs
2306;1032;1333;Non-CS Crystals
2307;1032;1333;Felsic Magma
2308;1033;1333;Suspended Plasma
2309;1033;1333;Ionic Solutions
2310;1033;1333;Noble Gas
2311;1033;1333;Reactive Gas
2312;1034;1335;Supertensile Plastics
2317;1034;1335;Oxides
2319;1034;1335;Test Cultures
